ticker,level,method,coverage,mean_halfwidth,n_eval
AAPL,0.5,gaussian,0.5789473684210527,0.009122199506294342,380
AAPL,0.5,conformal,0.49736842105263157,0.00758905842000208,380
AAPL,0.6,gaussian,0.6763157894736842,0.011382584834170954,380
AAPL,0.6,conformal,0.6026315789473684,0.009441244193071394,380
AAPL,0.7,gaussian,0.7657894736842106,0.014017339998419068,380
AAPL,0.7,conformal,0.7026315789473684,0.012078671340570132,380
AAPL,0.8,gaussian,0.8447368421052631,0.017332463621727558,380
AAPL,0.8,conformal,0.8184210526315789,0.015511131133683844,380
AAPL,0.9,gaussian,0.9052631578947369,0.0222459762203075,380
AAPL,0.9,conformal,0.8973684210526316,0.02097769216110653,380
AAPL,0.95,gaussian,0.9578947368421052,0.026507715627892482,380
AAPL,0.95,conformal,0.9552631578947368,0.026908339568881976,380
AAPL,0.99,gaussian,0.9763157894736842,0.03483704354929244,380
AAPL,0.99,conformal,0.9868421052631579,0.0549845895979789,380
MSFT,0.5,gaussian,0.5631578947368421,0.009073857037349845,380
MSFT,0.5,conformal,0.5368421052631579,0.008431904846769788,380
MSFT,0.6,gaussian,0.6684210526315789,0.011322263608629424,380
MSFT,0.6,conformal,0.6421052631578947,0.010824845022861266,380
MSFT,0.7,gaussian,0.7552631578947369,0.013943056069078292,380
MSFT,0.7,conformal,0.7315789473684211,0.013272514395018873,380
MSFT,0.8,gaussian,0.8394736842105263,0.01724061142272809,380
MSFT,0.8,conformal,0.8105263157894737,0.01653653689651517,380
MSFT,0.9,gaussian,0.9157894736842105,0.022128085199197053,380
MSFT,0.9,conformal,0.9131578947368421,0.021887510375637215,380
MSFT,0.95,gaussian,0.9526315789473684,0.026367239811873906,380
MSFT,0.95,conformal,0.9657894736842105,0.027494172348867276,380
MSFT,0.99,gaussian,0.9815789473684211,0.03465242703276726,380
MSFT,0.99,conformal,0.9894736842105263,0.04593223876146737,380
SPY,0.5,gaussian,0.5605263157894737,0.005195983952940167,380
SPY,0.5,conformal,0.5157894736842106,0.004546674373145025,380
SPY,0.6,gaussian,0.65,0.006483494260405406,380
SPY,0.6,conformal,0.6157894736842106,0.006091102129736814,380
SPY,0.7,gaussian,0.7210526315789474,0.007984244769524747,380
SPY,0.7,conformal,0.7263157894736842,0.007904162244417357,380
SPY,0.8,gaussian,0.8184210526315789,0.00987253159517883,380
SPY,0.8,conformal,0.8105263157894737,0.009854155352068692,380
SPY,0.9,gaussian,0.8921052631578947,0.012671257121536213,380
SPY,0.9,conformal,0.9131578947368421,0.013611321480163235,380
SPY,0.95,gaussian,0.9342105263157895,0.015098734130578271,380
SPY,0.95,conformal,0.9421052631578948,0.01583174371445457,380
SPY,0.99,gaussian,0.9789473684210527,0.019843100244091572,380
SPY,0.99,conformal,0.9842105263157894,0.022534152551354023,380
GOOGL,0.5,gaussian,0.5921052631578947,0.011817638517402368,380
GOOGL,0.5,conformal,0.5,0.009602631025903413,380
GOOGL,0.6,gaussian,0.7026315789473684,0.01474592535178416,380
GOOGL,0.6,conformal,0.618421052631579,0.012121609278838472,380
GOOGL,0.7,gaussian,0.7921052631578948,0.01815920129378247,380
GOOGL,0.7,conformal,0.7052631578947368,0.01483204660467689,380
GOOGL,0.8,gaussian,0.8789473684210526,0.02245388182491191,380
GOOGL,0.8,conformal,0.8131578947368421,0.01899275737552711,380
GOOGL,0.9,gaussian,0.9394736842105263,0.0288192453209256,380
GOOGL,0.9,conformal,0.9131578947368421,0.024999367730013093,380
GOOGL,0.95,gaussian,0.95,0.03434024886173358,380
GOOGL,0.95,conformal,0.9447368421052632,0.0332057142008866,380
GOOGL,0.99,gaussian,0.9710526315789474,0.04513073709870889,380
GOOGL,0.99,conformal,0.9894736842105263,0.08411093948377037,380
AMZN,0.5,gaussian,0.5578947368421052,0.012419973311037974,380
AMZN,0.5,conformal,0.5157894736842106,0.011187754097517063,380
AMZN,0.6,gaussian,0.6815789473684211,0.015497512387608079,380
AMZN,0.6,conformal,0.6289473684210526,0.014078919790840283,380
AMZN,0.7,gaussian,0.7736842105263158,0.019084760046300664,380
AMZN,0.7,conformal,0.7289473684210527,0.016923962414235893,380
AMZN,0.8,gaussian,0.8368421052631579,0.023598336722175046,380
AMZN,0.8,conformal,0.8078947368421052,0.02125995083225735,380
AMZN,0.9,gaussian,0.9236842105263158,0.03028813727912448,380
AMZN,0.9,conformal,0.9105263157894737,0.028702810304246425,380
AMZN,0.95,gaussian,0.9473684210526315,0.03609054158570448,380
AMZN,0.95,conformal,0.9526315789473684,0.03704480322386479,380
AMZN,0.99,gaussian,0.9815789473684211,0.047431011656687935,380
AMZN,0.99,conformal,0.9921052631578947,0.08192242413832236,380
META,0.5,gaussian,0.618421052631579,0.01518941326573306,380
META,0.5,conformal,0.4921052631578947,0.01127810964068988,380
META,0.6,gaussian,0.7052631578947368,0.018953190506214024,380
META,0.6,conformal,0.6026315789473684,0.014318459358916279,380
META,0.7,gaussian,0.8105263157894737,0.023340332556349503,380
META,0.7,conformal,0.718421052631579,0.018774832776355648,380
META,0.8,gaussian,0.8842105263157894,0.028860359026575477,380
META,0.8,conformal,0.8157894736842105,0.023481250274108495,380
META,0.9,gaussian,0.9368421052631579,0.03704186978993023,380
META,0.9,conformal,0.8973684210526316,0.031148677033729023,380
META,0.95,gaussian,0.9710526315789474,0.04413811023588875,380
META,0.95,conformal,0.9526315789473684,0.03912612693518374,380
META,0.99,gaussian,0.9947368421052631,0.0580073096473526,380
META,0.99,conformal,0.9973684210526316,0.13000679905385987,380
NVDA,0.5,gaussian,0.5815789473684211,0.02131239781822558,380
NVDA,0.5,conformal,0.5078947368421053,0.018210995047170428,380
NVDA,0.6,gaussian,0.6526315789473685,0.02659338638868452,380
NVDA,0.6,conformal,0.6,0.022873118822513843,380
NVDA,0.7,gaussian,0.7631578947368421,0.032749023543444666,380
NVDA,0.7,conformal,0.6921052631578948,0.02861516827618665,380
NVDA,0.8,gaussian,0.8552631578947368,0.04049422067795121,380
NVDA,0.8,conformal,0.8131578947368421,0.03499441923941265,380
NVDA,0.9,gaussian,0.9289473684210526,0.05197376956454842,380
NVDA,0.9,conformal,0.8973684210526316,0.04822320039680974,380
NVDA,0.95,gaussian,0.9473684210526315,0.06193056623287265,380
NVDA,0.95,conformal,0.9447368421052632,0.05743379820950218,380
NVDA,0.99,gaussian,0.9842105263157894,0.081390560513511,380
NVDA,0.99,conformal,0.9973684210526316,0.15884802569762072,380
JPM,0.5,gaussian,0.5921052631578947,0.008482368081875778,380
JPM,0.5,conformal,0.5026315789473684,0.006772721226058353,380
JPM,0.6,gaussian,0.6894736842105263,0.01058420989586934,380
JPM,0.6,conformal,0.5973684210526315,0.008473025201308696,380
JPM,0.7,gaussian,0.7736842105263158,0.01303416323150454,380
JPM,0.7,conformal,0.7131578947368421,0.010931243502124863,380
JPM,0.8,gaussian,0.8552631578947368,0.01611676395629919,380
JPM,0.8,conformal,0.7947368421052632,0.01350974503958948,380
JPM,0.9,gaussian,0.9236842105263158,0.020685642592129384,380
JPM,0.9,conformal,0.9131578947368421,0.018914901552812086,380
JPM,0.95,gaussian,0.9473684210526315,0.02464846343366302,380
JPM,0.95,conformal,0.9447368421052632,0.024468811393183076,380
JPM,0.99,gaussian,0.9736842105263158,0.032393571974120766,380
JPM,0.99,conformal,0.9921052631578947,0.06118361875457634,380
XOM,0.5,gaussian,0.5184210526315789,0.009105841841087939,380
XOM,0.5,conformal,0.5157894736842106,0.009096475365364383,380
XOM,0.6,gaussian,0.6289473684210526,0.011362173911150426,380
XOM,0.6,conformal,0.6263157894736842,0.011470722703006534,380
XOM,0.7,gaussian,0.7236842105263158,0.013992204508385085,380
XOM,0.7,conformal,0.7052631578947368,0.01357394605138037,380
XOM,0.8,gaussian,0.8394736842105263,0.017301383547571016,380
XOM,0.8,conformal,0.8263157894736842,0.016837499801168176,380
XOM,0.9,gaussian,0.8973684210526316,0.022206085376991657,380
XOM,0.9,conformal,0.8973684210526316,0.021944455120328974,380
XOM,0.95,gaussian,0.95,0.02646018275631602,380
XOM,0.95,conformal,0.9578947368421052,0.02882372168551864,380
XOM,0.99,gaussian,0.9894736842105263,0.034774574766981,380
XOM,0.99,conformal,0.9947368421052631,0.03944128320541307,380
KO,0.5,gaussian,0.5447368421052632,0.005454631747700814,380
KO,0.5,conformal,0.49473684210526314,0.004881817608383927,380
KO,0.6,gaussian,0.65,0.006806232264984551,380
KO,0.6,conformal,0.5973684210526315,0.006091470640570506,380
KO,0.7,gaussian,0.7236842105263158,0.008381687741090943,380
KO,0.7,conformal,0.6868421052631579,0.007580589633171308,380
KO,0.8,gaussian,0.8184210526315789,0.010363970473536587,380
KO,0.8,conformal,0.7710526315789473,0.009323018941187174,380
KO,0.9,gaussian,0.881578947368421,0.013302012093263166,380
KO,0.9,conformal,0.8868421052631579,0.01311848574176488,380
KO,0.95,gaussian,0.9236842105263158,0.015850325036539707,380
KO,0.95,conformal,0.9473684210526315,0.016628085632143103,380
KO,0.99,gaussian,0.9736842105263158,0.020830858128995083,380
KO,0.99,conformal,0.9921052631578947,0.03152567238301081,380
