run_id,ticker,model,n_folds,oos_days,dir_acc_mean,dir_acc_always_up,strat_sharpe_net,bh_sharpe_net,beats_buy_and_hold_sharpe,fit_seconds,wall_seconds
d13d9114596b4c2897ca69b84ab1a6d3,AAPL,persistence,5,500,0.0,0.562,0.0,1.9596,False,0.0,7.5
f18b3f140c7f45fc80625bd356a40a40,MSFT,persistence,5,500,0.0,0.546,0.0,1.6486,False,0.0,0.39
7cc6218fa63e4712963606d8e50fc875,SPY,persistence,5,500,0.0,0.574,0.0,1.9888,False,0.0,0.31
bcd0ae11f82c403b82cb2bc68fd272e3,GOOGL,persistence,5,500,0.0,0.568,0.0,1.6175,False,0.0,0.38
d1bb26a547124d39a3c0bbf34913fc86,AMZN,persistence,5,500,0.0,0.536,0.0,1.9935,False,0.0,0.31
3447644fbcf7432b8f1f8174e377fd96,META,persistence,5,500,0.0,0.532,0.0,3.0383,False,0.0,0.29
d785c8ba20f24bc0871c4fa54e281805,NVDA,persistence,5,500,0.0,0.562,0.0,4.048,False,0.0,0.32
49b72727b44443378a5cdeb202f55385,JPM,persistence,5,500,0.0,0.57,0.0,1.6427,False,0.0,0.68
f1f7e578515041a18c5b93db79957446,XOM,persistence,5,500,0.0,0.502,0.0,0.1701,False,0.0,0.53
f9348fac468e455490041ab6c9813345,KO,persistence,5,500,0.0,0.518,0.0,0.1947,False,0.0,0.5
9ac202785edb4db8ab7d06da2977aab1,AAPL,momentum,5,500,0.516,0.562,1.0894,1.9596,False,0.0,0.49
0b6cca2943444e05a980dbd426b87b9d,MSFT,momentum,5,500,0.52,0.546,0.7531,1.6486,False,0.0,0.4
518fed60b44e4a9d84f7e0d951c74db6,SPY,momentum,5,500,0.517,0.574,0.9407,1.9888,False,0.0,0.39
9dc485c368b5433fa1d8dfc99c01296a,GOOGL,momentum,5,500,0.5151,0.568,1.0495,1.6175,False,0.0,0.38
e861310380bf4fe781b6733300401762,AMZN,momentum,5,500,0.4985,0.536,0.589,1.9935,False,0.0,0.34
1a90eadd70794f1ba9780960930bc789,META,momentum,5,500,0.4818,0.532,1.6112,3.0383,False,0.0,0.37
cdde22672e914c05a301a0573c97a17c,NVDA,momentum,5,500,0.5251,0.562,2.3557,4.048,False,0.0,0.33
5c15c7fdfb674bcea907ad4c82b020c1,JPM,momentum,5,500,0.516,0.57,1.1418,1.6427,False,0.0,0.34
e873a0711a9e427cbed69f38b82ba60c,XOM,momentum,5,500,0.5401,0.502,0.2668,0.1701,True,0.0,0.39
671f60faab294d62b572a6daf634f7c6,KO,momentum,5,500,0.484,0.518,-0.756,0.1947,False,0.0,0.37
3b67991a35d142fb855ae349117ecbba,AAPL,arima,5,500,0.5644,0.562,1.7112,1.9596,False,9.67,10.17
0a24f9ef8c544c94909ae571e3cc9c1b,MSFT,arima,5,500,0.518,0.546,1.1136,1.6486,False,17.74,18.53
668254caccf5437591394463ebd72888,SPY,arima,5,500,0.5629,0.574,1.7671,1.9888,False,16.94,17.91
44850dd1579144df9636d0f45e938dbe,GOOGL,arima,5,500,0.5652,0.568,1.3682,1.6175,False,17.36,18.25
d79f27d9ea2849bb9e4c0d07aa167bf5,AMZN,arima,5,500,0.503,0.536,0.7451,1.9935,False,13.93,14.64
4cb0c53b63c241e281d0d3b861526be2,META,arima,5,500,0.5221,0.532,1.6604,3.0383,False,8.35,8.68
7e4fbe7e8fb343c2bf6357fd461ecf47,NVDA,arima,5,500,0.5532,0.562,3.7853,4.048,False,7.54,7.83
a047f2ae993e40c09b8d0e7d7012a659,JPM,arima,5,500,0.524,0.57,0.9591,1.6427,False,6.21,6.49
9c4a332c78fc4212bd87ee725805abfa,XOM,arima,5,500,0.506,0.502,0.1814,0.1701,True,7.61,7.9
afba7d3dd61a4ed68004063f8c4f3aa7,KO,arima,5,500,0.5264,0.518,0.1367,0.1947,False,7.65,8.02
7fea83791abb4f5c9ca36f9a37d023f9,AAPL,xgboost,5,500,0.5121,0.562,1.1808,1.9596,False,2.21,2.56
519830dfe7d749c4a0c7206c5431ffa5,MSFT,xgboost,5,500,0.546,0.546,1.9134,1.6486,True,1.13,1.52
5ecb70b3b0104ef6a05aec801efcb105,SPY,xgboost,5,500,0.511,0.574,1.3723,1.9888,False,1.25,1.71
954226b873174aecb20fba042f1a7430,GOOGL,xgboost,5,500,0.503,0.568,1.2856,1.6175,False,1.25,1.61
