actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.02253,0.00585,0.00073,0.0,0.00501,0.0
0.0184,0.02303,0.00116,0.0,-0.02253,0.0
0.0167,0.00317,0.00054,0.0,0.0184,0.0
-0.00218,-0.01082,-0.0,0.0,0.0167,0.0
-0.00651,-0.00661,0.00032,0.0,-0.00218,0.0
0.01648,0.00046,0.00062,0.0,-0.00651,0.0
0.01102,-0.01176,7e-05,0.0,0.01648,0.0
-0.00885,-0.01667,-7e-05,0.0,0.01102,0.0
0.0016,-0.00462,0.00048,0.0,-0.00885,0.0
0.01228,-0.00323,0.00051,0.0,0.0016,0.0
0.0063,-0.01044,0.00018,0.0,0.01228,0.0
-0.00262,-0.01127,0.00018,0.0,0.0063,0.0
-0.02162,-0.00479,0.00047,0.0,-0.00262,0.0
-0.00082,0.01546,0.00103,0.0,-0.02162,0.0
0.00364,0.014,0.00104,0.0,-0.00082,0.0
0.0086,0.00864,0.00085,0.0,0.00364,0.0
0.00116,0.00025,0.00053,0.0,0.0086,0.0
-0.01528,-0.00047,0.00055,0.0,0.00116,0.0
-0.01821,0.01207,0.00095,0.0,-0.01528,0.0
-0.01328,0.02405,0.00126,0.0,-0.01821,0.0
-0.00404,0.02869,0.00143,0.0,-0.01328,0.0
0.00649,0.02393,0.00135,0.0,-0.00404,0.0
-0.00327,0.01123,0.00095,0.0,0.00649,0.0
0.02137,0.00903,0.00088,0.0,-0.00327,0.0
-0.00119,-0.01161,2e-05,0.0,0.02137,0.0
-0.01203,-0.00952,0.00026,0.0,-0.00119,0.0
0.0,0.0013,0.00067,0.0,-0.01203,0.0
0.00397,0.0005,0.00066,0.0,0.0,0.0
0.01377,-0.0031,0.00052,0.0,0.00397,0.0
-0.01411,-0.01318,7e-05,0.0,0.01377,0.0
0.01342,0.00113,0.00064,0.0,-0.01411,0.0
0.00114,-0.00907,0.00021,0.0,0.01342,0.0
0.00315,-0.00726,0.00033,0.0,0.00114,0.0
-0.0021,-0.00716,0.00034,0.0,0.00315,0.0
0.00591,-0.00281,0.00051,0.0,-0.0021,0.0
0.01305,-0.00561,0.00038,0.0,0.00591,0.0
0.0094,-0.01316,3e-05,0.0,0.01305,0.0
-0.00055,-0.0159,-4e-05,0.0,0.0094,0.0
0.01022,-0.00998,0.00026,0.0,-0.00055,0.0
0.00952,-0.01346,7e-05,0.0,0.01022,0.0
0.01277,-0.01543,-0.0,0.0,0.00952,0.0
0.00148,-0.01916,-0.00016,0.0,0.01277,0.0
0.00012,-0.01312,0.00017,0.0,0.00148,0.0
-0.00082,-0.00723,0.00039,0.0,0.00012,0.0
0.0161,-0.00202,0.00057,0.0,-0.00082,0.0
0.00413,-0.01131,0.00011,0.0,0.0161,0.0
-0.00517,-0.00938,0.00027,0.0,0.00413,0.0
0.00596,-0.00063,0.00063,0.0,-0.00517,0.0
0.00069,-0.00275,0.00052,0.0,0.00596,0.0
0.01173,-0.00055,0.00062,0.0,0.00069,0.0
0.00972,-0.00763,0.0003,0.0,0.01173,0.0
-0.02142,-0.0116,0.00017,0.0,0.00972,0.0
0.00701,0.00991,0.00093,0.0,-0.02142,0.0
0.01882,0.00376,0.00072,0.0,0.00701,0.0
0.00306,-0.01048,0.0001,0.0,0.01882,0.0
0.01148,-0.00933,0.00028,0.0,0.00306,0.0
0.00318,-0.0147,6e-05,0.0,0.01148,0.0
-0.01324,-0.01225,0.00024,0.0,0.00318,0.0
-0.01326,0.0027,0.0008,0.0,-0.01324,0.0
-0.00706,0.01424,0.00113,0.0,-0.01326,0.0
