actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.03061,-0.00888,0.0006,0.0,0.02501,0.0
0.01062,0.01569,0.00049,0.0,-0.03061,0.0
0.01341,0.00105,0.00049,0.0,0.01062,0.0
0.00799,-0.01305,0.00046,0.0,0.01341,0.0
0.01163,-0.01998,0.00031,0.0,0.00799,0.0
-0.00678,-0.02823,0.00022,0.0,0.01163,0.0
0.0008,-0.01995,4e-05,0.0,-0.00678,0.0
-0.00426,-0.01912,5e-05,0.0,0.0008,0.0
0.00342,-0.01424,5e-05,0.0,-0.00426,0.0
0.00779,-0.01641,0.00011,0.0,0.00342,0.0
0.00042,-0.02163,0.00015,0.0,0.00779,0.0
0.00333,-0.0199,0.00011,0.0,0.00042,0.0
-0.0263,-0.02073,0.00011,0.0,0.00333,0.0
0.00904,0.00307,0.0002,0.0,-0.0263,0.0
0.00778,-0.00681,0.00028,0.0,0.00904,0.0
0.00298,-0.01391,0.0003,0.0,0.00778,0.0
0.01295,-0.01583,0.00024,0.0,0.00298,0.0
0.00996,-0.0253,0.00025,0.0,0.01295,0.0
-0.03284,-0.03048,0.00016,0.0,0.00996,0.0
0.06186,0.00044,0.00016,0.0,-0.03284,0.0
-0.01086,-0.04946,0.0011,0.0,0.06186,0.0
0.019,-0.03342,7e-05,0.0,-0.01086,0.0
0.03805,-0.04359,0.00013,0.0,0.019,0.0
0.01429,-0.06582,0.00035,0.0,0.03805,0.0
-0.0089,-0.06569,-0.00018,0.0,0.01429,0.0
-0.00644,-0.04752,-0.00051,0.0,-0.0089,0.0
0.01001,-0.03441,-0.00045,0.0,-0.00644,0.0
0.02484,-0.03682,-0.00028,0.0,0.01001,0.0
-0.01224,-0.0504,-5e-05,0.0,0.02484,0.0
-0.04194,-0.03259,-0.00027,0.0,-0.01224,0.0
-0.00449,0.00714,9e-05,0.0,-0.04194,0.0
0.01443,0.00792,0.00013,0.0,-0.00449,0.0
-0.00846,-0.00757,0.00029,0.0,0.01443,0.0
-0.02218,-0.00181,0.00026,0.0,-0.00846,0.0
-0.00635,0.01427,0.00035,0.0,-0.02218,0.0
0.02197,0.01369,0.00039,0.0,-0.00635,0.0
0.03182,-0.0104,0.00054,0.0,0.02197,0.0
-0.0102,-0.03734,0.00063,0.0,0.03182,0.0
0.01045,-0.02584,9e-05,0.0,-0.0102,0.0
0.01356,-0.03276,9e-05,0.0,0.01045,0.0
0.01296,-0.04062,5e-05,0.0,0.01356,0.0
0.02211,-0.04631,-3e-05,0.0,0.01296,0.0
0.01096,-0.05768,1e-05,0.0,0.02211,0.0
0.02938,-0.05819,-0.0002,0.0,0.01096,0.0
-0.00414,-0.07226,-2e-05,0.0,0.02938,0.0
-0.00464,-0.05816,-0.00044,0.0,-0.00414,0.0
0.0232,-0.04607,-0.00043,0.0,-0.00464,0.0
-0.0056,-0.05783,-0.00015,0.0,0.0232,0.0
-0.00659,-0.04527,-0.0003,0.0,-0.0056,0.0
0.02405,-0.03426,-0.00023,0.0,-0.00659,0.0
-0.00764,-0.04955,4e-05,0.0,0.02405,0.0
-0.04599,-0.03744,-0.00011,0.0,-0.00764,0.0
0.01256,0.00476,0.00028,0.0,-0.04599,0.0
0.0073,-0.00981,0.00027,0.0,0.01256,0.0
0.00062,-0.0178,0.00031,0.0,0.0073,0.0
0.01773,-0.01921,0.00026,0.0,0.00062,0.0
-0.00873,-0.03421,0.00031,0.0,0.01773,0.0
-0.01453,-0.02539,0.00011,0.0,-0.00873,0.0
-0.01095,-0.01336,0.00013,0.0,-0.01453,0.0
-0.00863,-0.0065,0.00021,0.0,-0.01095,0.0
