actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.02442,-0.00425,0.00076,0.0,0.00723,0.0
0.00859,0.01793,0.00049,0.0,-0.02442,0.0
-0.01533,0.00807,0.00134,0.0,0.00859,0.0
0.00136,0.01905,0.00159,0.0,-0.01533,0.0
0.00716,0.01352,0.00223,0.0,0.00136,0.0
0.01054,0.00421,0.00198,0.0,0.00716,0.0
0.00303,-0.00566,0.00159,0.0,0.01054,0.0
-0.00181,-0.00721,0.00143,0.0,0.00303,0.0
-0.0135,-0.00432,0.00136,0.0,-0.00181,0.0
0.00301,0.00737,0.00145,0.0,-0.0135,0.0
0.00398,0.00314,0.00186,0.0,0.00301,0.0
0.00652,-0.00104,0.00182,0.0,0.00398,0.0
-0.01429,-0.00621,0.00165,0.0,0.00652,0.0
-0.00037,0.00635,0.0016,0.0,-0.01429,0.0
0.01567,0.00492,0.00216,0.0,-0.00037,0.0
0.00877,-0.00881,0.00157,0.0,0.01567,0.0
0.01775,-0.0138,0.00146,0.0,0.00877,0.0
0.02817,-0.02393,0.0009,0.0,0.01775,0.0
-0.0192,-0.0385,0.0002,0.0,0.02817,0.0
0.00105,-0.01292,-0.00035,0.0,-0.0192,0.0
-0.01197,-0.00834,1e-05,0.0,0.00105,0.0
0.00295,0.00537,0.00045,0.0,-0.01197,0.0
0.03988,0.00381,0.00107,0.0,0.00295,0.0
0.02402,-0.02562,-0.00139,0.0,0.03988,0.0
-0.01328,-0.03557,-0.00039,0.0,0.02402,0.0
0.01121,-0.01418,-0.00082,0.0,-0.01328,0.0
0.00704,-0.01602,-0.00092,0.0,0.01121,0.0
-0.01509,-0.01411,-0.00065,0.0,0.00704,0.0
-0.01845,0.00469,-0.00069,0.0,-0.01509,0.0
-0.0176,0.02171,0.00027,0.0,-0.01845,0.0
0.01629,0.03338,0.00192,0.0,-0.0176,0.0
0.01609,0.01386,0.00167,0.0,0.01629,0.0
-0.01201,-0.0014,0.0009,0.0,0.01609,0.0
-0.04745,0.00888,0.00087,0.0,-0.01201,0.0
-0.01712,0.04636,-0.00018,0.0,-0.04745,0.0
0.01754,0.04896,0.00424,0.0,-0.01712,0.0
0.00877,0.02118,0.00355,0.0,0.01754,0.0
0.00065,0.00645,0.00286,0.0,0.00877,0.0
-0.00165,0.00166,0.00275,0.0,0.00065,0.0
0.01503,0.00012,0.00266,0.0,-0.00165,0.0
-0.00087,-0.01358,0.00206,0.0,0.01503,0.0
0.01768,-0.01124,0.0021,0.0,-0.00087,0.0
-0.00992,-0.02292,0.00142,0.0,0.01768,0.0
0.01199,-0.01007,0.00138,0.0,-0.00992,0.0
0.00493,-0.01654,0.00115,0.0,0.01199,0.0
0.05588,-0.01569,0.00125,0.0,0.00493,0.0
0.05525,-0.05151,-0.00229,0.0,0.05588,0.0
-0.0176,-0.07576,-0.00079,0.0,0.05525,0.0
-0.01115,-0.04036,-0.00052,0.0,-0.0176,0.0
0.03603,-0.01636,-0.00178,0.0,-0.01115,0.0
-0.00631,-0.03304,-0.00299,0.0,0.03603,0.0
-0.03592,-0.01403,-0.00178,0.0,-0.00631,0.0
0.00058,0.02448,-0.00259,0.0,-0.03592,0.0
0.01538,0.02375,0.00015,0.0,0.00058,0.0
0.01682,0.01025,-0.00013,0.0,0.01538,0.0
0.0076,-0.00176,-0.00047,0.0,0.01682,0.0
-0.0026,-0.00394,-0.00032,0.0,0.0076,0.0
-0.01452,0.00233,-0.0003,0.0,-0.0026,0.0
-0.00789,0.01648,-0.00016,0.0,-0.01452,0.0
-0.01014,0.02157,0.00083,0.0,-0.00789,0.0
