actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.00137,-0.00646,0.00096,0.0,0.03549,0.0
-0.00085,-0.00131,0.00085,0.0,-0.00137,0.0
0.01267,0.00256,0.00071,0.0,-0.00085,0.0
-0.00272,-0.00419,0.00089,0.0,0.01267,0.0
0.0444,0.00247,0.00062,0.0,-0.00272,0.0
-0.00364,-0.02588,0.00141,0.0,0.0444,0.0
0.00411,-0.01188,0.0008,0.0,-0.00364,0.0
0.00562,-0.00638,0.00059,0.0,0.00411,0.0
0.00349,-0.00293,0.00049,0.0,0.00562,0.0
0.00423,0.00153,0.00033,0.0,0.00349,0.0
-0.01052,0.0045,0.00024,0.0,0.00423,0.0
0.00502,0.01791,-0.00031,0.0,-0.01052,0.0
-0.00317,0.01602,-0.00013,0.0,0.00502,0.0
0.00703,0.02058,-0.00022,0.0,-0.00317,0.0
-0.01187,0.01604,3e-05,0.0,0.00703,0.0
0.01435,0.0268,-0.0003,0.0,-0.01187,0.0
-0.01153,0.01469,0.00016,0.0,0.01435,0.0
0.00677,0.02505,-0.00014,0.0,-0.01153,0.0
-0.0111,0.01864,0.00015,0.0,0.00677,0.0
0.0046,0.02724,-3e-05,0.0,-0.0111,0.0
-0.01417,0.0214,0.00023,0.0,0.0046,0.0
0.00778,0.03115,7e-05,0.0,-0.01417,0.0
0.11545,0.02126,0.00041,0.0,0.00778,0.0
-0.04323,-0.05847,0.00157,0.0,0.11545,0.0
0.00254,-0.00643,-0.00085,0.0,-0.04323,0.0
0.00975,6e-05,-0.00043,0.0,0.00254,0.0
0.00113,7e-05,2e-05,0.0,0.00975,0.0
0.00668,0.00678,6e-05,0.0,0.00113,0.0
0.00294,0.00792,0.00025,0.0,0.00668,0.0
0.01422,0.01171,0.00026,0.0,0.00294,0.0
-0.00114,0.00635,0.00059,0.0,0.01422,0.0
-0.00792,0.01393,0.00031,0.0,-0.00114,0.0
-0.0095,0.02484,-9e-05,0.0,-0.00792,0.0
0.01653,0.03411,-0.0003,0.0,-0.0095,0.0
0.01548,0.02087,0.0002,0.0,0.01653,0.0
0.007,0.01176,0.00058,0.0,0.01548,0.0
-0.00128,0.01144,0.00059,0.0,0.007,0.0
-0.00072,0.0176,0.00031,0.0,-0.00128,0.0
-0.00028,0.02191,0.00015,0.0,-0.00072,0.0
-0.0139,0.02477,7e-05,0.0,-0.00028,0.0
-0.00581,0.03727,-0.00033,0.0,-0.0139,0.0
-0.0058,0.03999,-0.00024,0.0,-0.00581,0.0
0.00855,0.0415,-9e-05,0.0,-0.0058,0.0
0.00766,0.03107,0.00027,0.0,0.00855,0.0
-0.01435,0.02374,0.00051,0.0,0.00766,0.0
-0.0039,0.035,0.00021,0.0,-0.01435,0.0
0.00276,0.03513,0.00034,0.0,-0.0039,0.0
-0.00821,0.0298,0.00054,0.0,0.00276,0.0
-0.00658,0.03402,0.00053,0.0,-0.00821,0.0
-0.0015,0.03565,0.00062,0.0,-0.00658,0.0
-0.00509,0.03263,0.00078,0.0,-0.0015,0.0
-0.03352,0.03286,0.00087,0.0,-0.00509,0.0
0.01124,0.05524,0.00073,0.0,-0.03352,0.0
0.01992,0.03613,0.00112,0.0,0.01124,0.0
0.00332,0.01521,0.00126,0.0,0.01992,0.0
0.01644,0.01227,0.00132,0.0,0.00332,0.0
0.00343,0.00088,0.00144,0.0,0.01644,0.0
-0.0081,0.0026,0.00128,0.0,0.00343,0.0
-0.00767,0.01308,0.00084,0.0,-0.0081,0.0
0.00163,0.02095,0.00061,0.0,-0.00767,0.0
