actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.01653,0.02385,0.00051,0.0,-0.00496,0.0
0.00246,0.03662,0.00075,0.0,-0.01653,0.0
0.00564,0.03046,0.00057,0.0,0.00246,0.0
-0.0046,0.0221,0.0005,0.0,0.00564,0.0
0.00462,0.02382,0.0004,0.0,-0.0046,0.0
0.01107,0.01713,0.00033,0.0,0.00462,0.0
0.0,0.00576,0.00035,0.0,0.01107,0.0
0.00327,0.0056,0.00022,0.0,0.0,0.0
-0.00949,0.00278,0.0002,0.0,0.00327,0.0
0.00773,0.01158,0.00031,0.0,-0.00949,0.0
-0.01405,0.0043,0.00031,0.0,0.00773,0.0
0.0,0.01711,0.00052,0.0,-0.01405,0.0
-0.02073,0.01587,0.00046,0.0,0.0,0.0
-0.01044,0.03335,0.00087,0.0,-0.02073,0.0
-0.00565,0.03924,0.00083,0.0,-0.01044,0.0
-0.00374,0.03979,0.00074,0.0,-0.00565,0.0
-0.01665,0.0383,0.00064,0.0,-0.00374,0.0
0.00549,0.04864,0.00077,0.0,-0.01665,0.0
-0.00925,0.03724,0.00063,0.0,0.00549,0.0
-0.00459,0.04048,0.00055,0.0,-0.00925,0.0
0.00154,0.03899,0.00045,0.0,-0.00459,0.0
0.00399,0.03205,0.00036,0.0,0.00154,0.0
-0.02555,0.02382,0.00029,0.0,0.00399,0.0
-0.00063,0.04352,0.00064,0.0,-0.02555,0.0
0.00408,0.03793,0.00051,0.0,-0.00063,0.0
-0.00876,0.02875,0.00046,0.0,0.00408,0.0
-0.00253,0.0323,0.00038,0.0,-0.00876,0.0
-0.00316,0.02979,0.00032,0.0,-0.00253,0.0
-0.00714,0.02818,0.00026,0.0,-0.00316,0.0
-0.01295,0.03038,0.00025,0.0,-0.00714,0.0
0.00194,0.03762,0.00035,0.0,-0.01295,0.0
0.0118,0.03037,0.00029,0.0,0.00194,0.0
0.00639,0.01535,0.00038,0.0,0.0118,0.0
0.01222,0.00724,0.00027,0.0,0.00639,0.0
0.00251,-0.00456,0.00032,0.0,0.01222,0.0
0.0072,-0.00611,0.00018,0.0,0.00251,0.0
0.00264,-0.01113,0.0002,0.0,0.0072,0.0
-0.00186,-0.0113,0.0002,0.0,0.00264,0.0
0.00211,-0.00731,0.00028,0.0,-0.00186,0.0
-0.00671,-0.00707,0.00033,0.0,0.00211,0.0
-0.00204,0.00092,0.00048,0.0,-0.00671,0.0
-0.02062,0.00386,0.0005,0.0,-0.00204,0.0
0.01141,0.02298,0.00102,0.0,-0.02062,0.0
-0.0062,0.01106,0.00081,0.0,0.01141,0.0
0.00112,0.01601,0.00076,0.0,-0.0062,0.0
0.00495,0.01376,0.00063,0.0,0.00112,0.0
-0.00429,0.00836,0.00052,0.0,0.00495,0.0
0.01916,0.01173,0.00046,0.0,-0.00429,0.0
-0.01128,-0.00563,0.00062,0.0,0.01916,0.0
-0.00903,0.00571,0.00054,0.0,-0.01128,0.0
0.01359,0.01379,0.00062,0.0,-0.00903,0.0
-0.00868,0.001,0.00062,0.0,0.01359,0.0
-0.00636,0.00929,0.00059,0.0,-0.00868,0.0
0.0016,0.01451,0.0006,0.0,-0.00636,0.0
-0.00272,0.01196,0.00051,0.0,0.0016,0.0
0.00737,0.01348,0.00047,0.0,-0.00272,0.0
-0.0043,0.0059,0.00041,0.0,0.00737,0.0
-0.00192,0.00952,0.00037,0.0,-0.0043,0.0
-0.00673,0.0106,0.00035,0.0,-0.00192,0.0
0.00371,0.01579,0.00039,0.0,-0.00673,0.0
