actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.01873,-0.02784,0.00038,0.0,0.0226,0.0
0.01387,-0.00482,0.00085,0.0,-0.01873,0.0
-0.00401,-0.01288,0.00075,0.0,0.01387,0.0
-0.01131,-0.00479,0.00097,0.0,-0.00401,0.0
0.01048,0.00833,0.0013,0.0,-0.01131,0.0
0.0008,0.00041,0.00124,0.0,0.01048,0.0
-0.00703,0.0017,0.00129,0.0,0.0008,0.0
-0.01617,0.00937,0.00148,0.0,-0.00703,0.0
0.00024,0.02382,0.00181,0.0,-0.01617,0.0
-0.0008,0.02126,0.00193,0.0,0.00024,0.0
-0.00227,0.01953,0.00193,0.0,-0.0008,0.0
0.01191,0.01907,0.00195,0.0,-0.00227,0.0
-0.03148,0.00621,0.00162,0.0,0.01191,0.0
0.00726,0.03355,0.002,0.0,-0.03148,0.0
0.00963,0.02219,0.00204,0.0,0.00726,0.0
0.00857,0.01029,0.00176,0.0,0.00963,0.0
0.02615,0.00122,0.0015,0.0,0.00857,0.0
-0.00249,-0.02077,0.00076,0.0,0.02615,0.0
-0.04093,-0.01501,0.00093,0.0,-0.00249,0.0
-0.00074,0.02435,0.00144,0.0,-0.04093,0.0
-0.01143,0.0223,0.00189,0.0,-0.00074,0.0
0.02096,0.0296,0.00216,0.0,-0.01143,0.0
-0.00066,0.0072,0.0017,0.0,0.02096,0.0
0.03435,0.00676,0.00167,0.0,-0.00066,0.0
-0.00399,-0.02269,0.00068,0.0,0.03435,0.0
-0.01047,-0.01529,0.00093,0.0,-0.00399,0.0
0.00283,-0.0029,0.00119,0.0,-0.01047,0.0
-0.00824,-0.00354,0.00125,0.0,0.00283,0.0
-0.0049,0.00546,0.00148,0.0,-0.00824,0.0
-0.03999,0.0102,0.00167,0.0,-0.0049,0.0
0.00058,0.04589,0.00213,0.0,-0.03999,0.0
0.01207,0.03902,0.00256,0.0,0.00058,0.0
0.0079,0.02243,0.00222,0.0,0.01207,0.0
-0.0043,0.01182,0.0019,0.0,0.0079,0.0
-0.00702,0.01344,0.00189,0.0,-0.0043,0.0
0.01068,0.01732,0.00197,0.0,-0.00702,0.0
0.01492,0.00532,0.00168,0.0,0.01068,0.0
-0.00757,-0.0082,0.00126,0.0,0.01492,0.0
0.009,-0.00023,0.00141,0.0,-0.00757,0.0
0.03223,-0.00727,0.00123,0.0,0.009,0.0
0.03512,-0.03194,0.00038,0.0,0.03223,0.0
0.00021,-0.054,-0.00037,0.0,0.03512,0.0
-0.0079,-0.04391,1e-05,0.0,0.00021,0.0
0.02437,-0.02791,0.00033,0.0,-0.0079,0.0
-0.01635,-0.04044,-1e-05,0.0,0.02437,0.0
0.00937,-0.01729,0.00055,0.0,-0.01635,0.0
0.02157,-0.01908,0.00064,0.0,0.00937,0.0
-0.00299,-0.03076,0.00034,0.0,0.02157,0.0
-0.01655,-0.02039,0.00062,0.0,-0.00299,0.0
0.00708,0.00012,0.00104,0.0,-0.01655,0.0
-0.00769,-0.00292,0.00115,0.0,0.00708,0.0
-0.03592,0.00679,0.0014,0.0,-0.00769,0.0
-0.00271,0.04034,0.00189,0.0,-0.03592,0.0
-0.01733,0.03842,0.00237,0.0,-0.00271,0.0
0.02495,0.04923,0.00263,0.0,-0.01733,0.0
0.01317,0.02008,0.00205,0.0,0.02495,0.0
-0.00724,0.00543,0.00159,0.0,0.01317,0.0
-0.00587,0.01076,0.00167,0.0,-0.00724,0.0
-0.01429,0.01426,0.00175,0.0,-0.00587,0.0
-0.00969,0.02474,0.002,0.0,-0.01429,0.0
