actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.01567,0.02302,0.0018,0.0,-0.00115,0.0
0.01262,0.0315,0.00254,0.0,-0.01567,0.0
0.00663,0.01476,0.00135,0.0,0.01262,0.0
-0.00388,0.00641,0.00078,0.0,0.00663,0.0
0.00115,0.00837,0.00087,0.0,-0.00388,0.0
0.00677,0.006,0.00073,0.0,0.00115,0.0
-0.00095,-0.00018,0.00036,0.0,0.00677,0.0
-0.00626,0.00125,0.00042,0.0,-0.00095,0.0
0.00144,0.00679,0.00083,0.0,-0.00626,0.0
0.00346,0.00505,0.00075,0.0,0.00144,0.0
0.00148,0.00211,0.00057,0.0,0.00346,0.0
0.02085,0.00146,0.00051,0.0,0.00148,0.0
-0.00681,-0.01394,-0.0003,0.0,0.02085,0.0
0.00031,-0.00413,1e-05,0.0,-0.00681,0.0
0.00805,-0.00176,0.00018,0.0,0.00031,0.0
-0.00364,-0.00585,-6e-05,0.0,0.00805,0.0
0.01256,0.00029,0.00025,0.0,-0.00364,0.0
0.00134,-0.00751,-0.00016,0.0,0.01256,0.0
-0.06053,-0.0047,-0.00014,0.0,0.00134,0.0
0.00989,0.04957,0.00392,0.0,-0.06053,0.0
-0.00465,0.03257,0.00212,0.0,0.00989,0.0
0.00734,0.03047,0.00214,0.0,-0.00465,0.0
0.02119,0.0186,0.00136,0.0,0.00734,0.0
0.01249,-0.0017,0.00019,0.0,0.02119,0.0
-0.00679,-0.01046,-0.00053,0.0,0.01249,0.0
-0.01072,-0.00183,-0.00015,0.0,-0.00679,0.0
0.01201,0.00844,0.00064,0.0,-0.01072,0.0
0.00513,-0.00156,0.00014,0.0,0.01201,0.0
0.00397,-0.00389,-6e-05,0.0,0.00513,0.0
-0.02785,-0.00461,-0.00013,0.0,0.00397,0.0
0.00183,0.02074,0.0017,0.0,-0.02785,0.0
0.00488,0.01635,0.00136,0.0,0.00183,0.0
-0.00551,0.0102,0.00099,0.0,0.00488,0.0
-0.00432,0.01361,0.00122,0.0,-0.00551,0.0
0.01,0.01523,0.00134,0.0,-0.00432,0.0
0.00429,0.00491,0.00069,0.0,0.01,0.0
0.02197,0.00139,0.0004,0.0,0.00429,0.0
-0.01168,-0.01489,-0.00046,0.0,0.02197,0.0
0.00111,-0.00103,8e-05,0.0,-0.01168,0.0
0.01776,-2e-05,0.00021,0.0,0.00111,0.0
0.00051,-0.01209,-0.00039,0.0,0.01776,0.0
0.01442,-0.00788,-0.00037,0.0,0.00051,0.0
0.01189,-0.01509,-0.00071,0.0,0.01442,0.0
0.00215,-0.01846,-0.00101,0.0,0.01189,0.0
0.00552,-0.01321,-0.00088,0.0,0.00215,0.0
-0.00603,-0.01142,-0.00075,0.0,0.00552,0.0
0.01277,-0.00076,-0.00016,0.0,-0.00603,0.0
0.00127,-0.00708,-0.00038,0.0,0.01277,0.0
-0.00509,-0.003,-0.0003,0.0,0.00127,0.0
0.00966,0.00527,0.00019,0.0,-0.00509,0.0
0.00636,3e-05,-5e-05,0.0,0.00966,0.0
-0.03756,-0.00151,-0.00022,0.0,0.00636,0.0
-0.00082,0.03322,0.0022,0.0,-0.03756,0.0
-0.00098,0.02989,0.00183,0.0,-0.00082,0.0
-0.00309,0.02683,0.00167,0.0,-0.00098,0.0
0.00937,0.02573,0.00163,0.0,-0.00309,0.0
-0.00278,0.01448,0.00091,0.0,0.00937,0.0
-0.0173,0.01532,0.00093,0.0,-0.00278,0.0
-0.01324,0.02783,0.00191,0.0,-0.0173,0.0
-0.00784,0.03416,0.00245,0.0,-0.01324,0.0
