actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
-0.00904,-0.00099,0.00034,0.0,0.00909,0.0
0.00946,0.00699,0.00054,0.0,-0.00904,0.0
0.00693,-0.0018,0.00031,0.0,0.00946,0.0
-0.00175,-0.0067,0.00013,0.0,0.00693,0.0
0.00599,-0.00343,0.00021,0.0,-0.00175,0.0
0.00818,-0.00689,9e-05,0.0,0.00599,0.0
-0.00777,-0.01114,-0.0001,0.0,0.00818,0.0
0.00435,-0.00147,0.00016,0.0,-0.00777,0.0
9e-05,-0.00345,0.00014,0.0,0.00435,0.0
0.00385,-0.00158,0.00021,0.0,9e-05,0.0
-0.00164,-0.0031,0.00018,0.0,0.00385,0.0
-0.00053,0.00013,0.00028,0.0,-0.00164,0.0
-0.00914,0.00176,0.00035,0.0,-0.00053,0.0
0.00216,0.00997,0.00058,0.0,-0.00914,0.0
-0.00035,0.00696,0.00058,0.0,0.00216,0.0
0.00309,0.00634,0.0006,0.0,-0.00035,0.0
0.00162,0.00287,0.00053,0.0,0.00309,0.0
-0.00303,0.00123,0.00048,0.0,0.00162,0.0
-0.0196,0.00369,0.00055,0.0,-0.00303,0.0
0.00422,0.01928,0.00079,0.0,-0.0196,0.0
-0.00215,0.01155,0.00079,0.0,0.00422,0.0
0.01209,0.01025,0.00082,0.0,-0.00215,0.0
0.02487,-0.00248,0.00045,0.0,0.01209,0.0
0.00773,-0.02218,-0.00046,0.0,0.02487,0.0
0.00433,-0.02359,-0.00064,0.0,0.00773,0.0
0.00095,-0.02118,-0.00064,0.0,0.00433,0.0
-0.00311,-0.0159,-0.00051,0.0,0.00095,0.0
0.00049,-0.00798,-0.00025,0.0,-0.00311,0.0
-0.00643,-0.00437,-9e-05,0.0,0.00049,0.0
-0.01281,0.00411,0.00019,0.0,-0.00643,0.0
0.0041,0.01593,0.00052,0.0,-0.01281,0.0
0.00366,0.01088,0.00055,0.0,0.0041,0.0
0.00034,0.00677,0.00049,0.0,0.00366,0.0
0.00537,0.00595,0.00049,0.0,0.00034,0.0
0.0031,0.00108,0.00036,0.0,0.00537,0.0
0.00339,-0.00096,0.00029,0.0,0.0031,0.0
0.00522,-0.00272,0.00021,0.0,0.00339,0.0
-0.00303,-0.00543,0.0001,0.0,0.00522,0.0
0.00621,-0.00075,0.00023,0.0,-0.00303,0.0
0.00179,-0.00435,0.00011,0.0,0.00621,0.0
0.00046,-0.00353,0.00013,0.0,0.00179,0.0
0.00621,-0.00168,0.00018,0.0,0.00046,0.0
-0.00165,-0.00474,7e-05,0.0,0.00621,0.0
0.0019,-0.00074,0.00018,0.0,-0.00165,0.0
-0.00515,-0.00036,0.0002,0.0,0.0019,0.0
-0.00311,0.00564,0.00039,0.0,-0.00515,0.0
0.00773,0.00862,0.00052,0.0,-0.00311,0.0
-0.00515,0.00195,0.00035,0.0,0.00773,0.0
-0.0002,0.007,0.00049,0.0,-0.00515,0.0
0.00427,0.00685,0.00052,0.0,-0.0002,0.0
-0.00412,0.00296,0.00043,0.0,0.00427,0.0
-0.0298,0.00663,0.00053,0.0,-0.00412,0.0
-0.00031,0.03101,0.00071,0.0,-0.0298,0.0
0.01201,0.02491,0.0009,0.0,-0.00031,0.0
0.00599,0.00929,0.00063,0.0,0.01201,0.0
0.01111,0.00167,0.00043,0.0,0.00599,0.0
7e-05,-0.00825,7e-05,0.0,0.01111,0.0
-0.01053,-0.00686,8e-05,0.0,7e-05,0.0
-0.01141,0.00324,0.00034,0.0,-0.01053,0.0
-0.00364,0.01215,0.0006,0.0,-0.01141,0.0
