actual_ret,lstm_price_pred,lstm_returns_pred,persistence_zero_pred,momentum_pred,always_up_pred
0.00433,-0.06435,0.00032,0.0,0.01836,0.0
-0.02656,-0.06129,0.00033,0.0,0.00433,0.0
0.00041,-0.03314,0.00039,0.0,-0.02656,0.0
0.0086,-0.03116,0.00087,0.0,0.00041,0.0
0.00382,-0.03644,0.00109,0.0,0.0086,0.0
0.0038,-0.03727,0.00114,0.0,0.00382,0.0
-0.03006,-0.03812,0.00114,0.0,0.0038,0.0
0.00258,-0.01013,0.00113,0.0,-0.03006,0.0
-0.00257,-0.01371,0.0017,0.0,0.00258,0.0
-0.00283,-0.0126,0.00177,0.0,-0.00257,0.0
0.00058,-0.01151,0.0018,0.0,-0.00283,0.0
0.00516,-0.01351,0.00178,0.0,0.00058,0.0
-0.00356,-0.01914,0.00166,0.0,0.00516,0.0
-0.00565,-0.01666,0.00148,0.0,-0.00356,0.0
-0.00084,-0.01267,0.00143,0.0,-0.00565,0.0
-0.00494,-0.01329,0.00146,0.0,-0.00084,0.0
-0.01362,-0.0103,0.00144,0.0,-0.00494,0.0
-0.00503,-0.00013,0.0015,0.0,-0.01362,0.0
0.00077,0.00133,0.00173,0.0,-0.00503,0.0
-0.01567,-0.00241,0.00179,0.0,0.00077,0.0
0.03184,0.0087,0.00171,0.0,-0.01567,0.0
0.00295,-0.02203,0.00165,0.0,0.03184,0.0
0.01715,-0.02439,0.00123,0.0,0.00295,0.0
0.00124,-0.038,0.00093,0.0,0.01715,0.0
-0.00033,-0.03661,0.00069,0.0,0.00124,0.0
-0.00528,-0.03402,0.0006,0.0,-0.00033,0.0
-0.001,-0.02759,0.00066,0.0,-0.00528,0.0
0.00931,-0.02558,0.00082,0.0,-0.001,0.0
0.00066,-0.03245,0.0009,0.0,0.00931,0.0
-0.01037,-0.03129,0.00089,0.0,0.00066,0.0
0.00838,-0.02101,0.00095,0.0,-0.01037,0.0
-0.01396,-0.02784,0.0011,0.0,0.00838,0.0
0.01425,-0.01499,0.00112,0.0,-0.01396,0.0
0.01338,-0.02761,0.00126,0.0,0.01425,0.0
-0.00115,-0.0378,0.00108,0.0,0.01338,0.0
-0.01494,-0.03468,0.00091,0.0,-0.00115,0.0
-0.01667,-0.02029,0.0009,0.0,-0.01494,0.0
-0.00263,-0.00607,0.0012,0.0,-0.01667,0.0
0.00255,-0.00581,0.00161,0.0,-0.00263,0.0
-0.00093,-0.0101,0.00172,0.0,0.00255,0.0
-0.00153,-0.01089,0.00166,0.0,-0.00093,0.0
-0.02881,-0.01106,0.00159,0.0,-0.00153,0.0
0.00438,0.01275,0.00151,0.0,-0.02881,0.0
-0.01054,0.00446,0.00204,0.0,0.00438,0.0
-0.0059,0.01023,0.00196,0.0,-0.01054,0.0
-0.00204,0.01124,0.00206,0.0,-0.0059,0.0
-0.00666,0.00879,0.00206,0.0,-0.00204,0.0
-0.00089,0.01078,0.00196,0.0,-0.00666,0.0
-0.00876,0.00758,0.00193,0.0,-0.00089,0.0
-0.02138,0.01177,0.0018,0.0,-0.00876,0.0
-0.00424,0.02687,0.00182,0.0,-0.02138,0.0
-0.01472,0.02482,0.0022,0.0,-0.00424,0.0
-0.00855,0.03251,0.0022,0.0,-0.01472,0.0
0.00341,0.03377,0.00239,0.0,-0.00855,0.0
0.00406,0.02432,0.00241,0.0,0.00341,0.0
0.00094,0.01573,0.00212,0.0,0.00406,0.0
0.00085,0.01121,0.0018,0.0,0.00094,0.0
-9e-05,0.00757,0.00156,0.0,0.00085,0.0
-0.00676,0.00541,0.00137,0.0,-9e-05,0.0
0.01711,0.0095,0.00126,0.0,-0.00676,0.0
