slice,bucket,n_days,up_rate,acc_always_up,acc_momentum,acc_arima,acc_prophet,acc_xgboost,acc_lstm_returns,acc_xgboost_tuned,edge_always_up,edge_momentum,edge_arima,edge_prophet,edge_xgboost,edge_lstm_returns,edge_xgboost_tuned
regime,bear,473.0,0.5961945031712473,0.597457627118644,0.510593220338983,0.559322033898305,0.4766949152542373,0.5190677966101694,0.5635593220338984,0.527542372881356,0.0012631239473966938,-0.08560128283226431,-0.0368724692729423,-0.11949958791701004,-0.0771267065610779,-0.03263518113734898,-0.06865213028989137
regime,bull,2986.0,0.5334896182183523,0.5354621848739496,0.5092436974789916,0.5277310924369748,0.5052100840336134,0.5095798319327731,0.5042016806722689,0.5136134453781512,0.0019725666555973076,-0.024245920739360716,-0.005758525781377477,-0.02827953418473883,-0.02390978628557916,-0.029287937546083387,-0.019876172840201045
regime,sideways,1541.0,0.5580791693705386,0.5609915198956295,0.5159817351598174,0.5394651011089368,0.49902152641878667,0.5290280495759948,0.532941943900848,0.5159817351598174,0.0029123505250908677,-0.04209743421072121,-0.018614068261601835,-0.05905764295175192,-0.029051119794543778,-0.02513722546969055,-0.04209743421072121
vol_bucket,low,1670.0,0.5455089820359281,0.5487951807228916,0.5060240963855421,0.5367469879518072,0.5018072289156627,0.5108433734939759,0.5253012048192771,0.5234939759036145,0.0032861986869634485,-0.03948488565038599,-0.008761994084120928,-0.043701753120265474,-0.03466560854195222,-0.020207777216651013,-0.022015006132313664
vol_bucket,mid,1660.0,0.5289156626506024,0.5311554748941318,0.5136116152450091,0.5172413793103449,0.5027223230490018,0.5099818511796733,0.5021173623714459,0.4960677555958863,0.0022398122435294265,-0.015304047405593324,-0.011674283340257552,-0.02619333960160064,-0.018933811470929096,-0.02679830027915653,-0.03284790705471613
vol_bucket,high,1670.0,0.5664670658682635,0.5674865026994601,0.5146970605878824,0.5488902219556089,0.4973005398920216,0.528494301139772,0.528494301139772,0.5272945410917816,0.0010194368311966517,-0.051770005280381004,-0.01757684391265457,-0.06916652597624184,-0.037972764728491426,-0.037972764728491426,-0.03917252477648181
sector,comm-svcs,1000.0,0.55,0.551654964894684,0.49849548645937813,0.5436308926780341,0.4974924774322969,0.522567703109328,0.5376128385155466,0.518555667001003,0.0016549648946839746,-0.05150451354062191,-0.006369107321965939,-0.052507522567703135,-0.02743229689067206,-0.012387161484453402,-0.03144433299899707
sector,consumer-disc,500.0,0.536,0.5392354124748491,0.49899396378269617,0.5030181086519114,0.5010060362173038,0.49899396378269617,0.49295774647887325,0.45271629778672035,0.003235412474849042,-0.03700603621730386,-0.0329818913480886,-0.03499396378269626,-0.03700603621730386,-0.04304225352112678,-0.08328370221327969
sector,energy,500.0,0.502,0.5040160642570282,0.5401606425702812,0.5060240963855421,0.45180722891566266,0.5080321285140562,0.5040160642570282,0.4979919678714859,0.0020160642570281606,0.03816064257028118,0.004024096385542131,-0.05019277108433734,0.006032128514056212,0.0020160642570281606,-0.004008032128514083
sector,financials,500.0,0.57,0.57,0.516,0.524,0.492,0.482,0.488,0.472,0.0,-0.05399999999999994,-0.04599999999999993,-0.07799999999999996,-0.08799999999999997,-0.08199999999999996,-0.09799999999999998
sector,index,500.0,0.574,0.5751503006012024,0.5170340681362725,0.56312625250501,0.49899799599198397,0.5110220440881763,0.5070140280561122,0.5511022044088176,0.0011503006012024697,-0.05696593186372745,-0.010873747494989927,-0.07500200400801599,-0.06297795591182365,-0.06698597194388778,-0.022897795591182324
sector,staples,500.0,0.518,0.5264227642276422,0.483739837398374,0.5264227642276422,0.5060975609756098,0.524390243902439,0.516260162601626,0.5182926829268293,0.00842276422764221,-0.03426016260162601,0.00842276422764221,-0.011902439024390254,0.00639024390243903,-0.0017398373983740223,0.00029268292682926855
sector,tech,1500.0,0.5566666666666666,0.5577822311289246,0.520374081496326,0.5444221776887107,0.520374081496326,0.5317301269205077,0.5344021376085505,0.5424181696726786,0.001115564462257912,-0.03629258517034062,-0.012244488977955936,-0.03629258517034062,-0.024936539746158948,-0.022264529058116156,-0.014248496993988002
